MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B01	Biomass	AL	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AL	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AL	2020	100	1492.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	AT	2020	100	497.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	AT	2020	100	4015.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	AT	2020	100	246.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	AT	2020	100	177.90	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AT	2020	100	3120.10	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AT	2020	100	5724.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AT	2020	100	2435.70	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	AT	2020	100	22.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	AT	2020	100	100.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	AT	2020	100	1333.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	AT	2020	100	150.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	AT	2020	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	AT	2020	100	3133.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	BA	2020	100	988.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	BA	2020	100	887.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	BA	2020	100	440.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	BA	2020	100	1083.40	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	BA	2020	100	707.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	BA	2020	100	86.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	BE	2020	100	647.39	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	BE	2020	100	6798.85	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	BE	2020	100	246.28	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	BE	2020	100	1308.00	29-05-2024 00:00:00	
