MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	157	Nuclear	RO	2020	1300.00		2	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	FI	2020	565.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	PL	2020	3697.00		31	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	CZ	2020	1110.00		6	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	RS	2020	590.00		5	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LT	2020	110.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	DE	2020	7767.00		43	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GR	2020	4617.00		16	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	SK	2020	419.60		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	157	Nuclear	DE	2020	9526.00		7	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	380	Hydro_1MW_10MW	IT	2020	298.00		37	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	LT	2020	445.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	IT	2020	11610.00		38	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	375	FF_LT10MW	HU	2020	5.50		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	SI	2020	180.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	DE	2020	350.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	375	FF_LT10MW	SE	2020	0.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	157	Nuclear	HU	2020	1898.60		8	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	ES	2020	11137.00		25	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	FR	2020	665.00		3	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	157	Nuclear	BE	2020	5931.00		8	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	MK	2020	300.00		2	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	IT	2020	934.00		42	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	157	Nuclear	NL	2020	485.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	FI	2020	385.00		2	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	RS	2020	2146.60		12	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	LT	2020	900.00		4	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	GR	2020	120.00		2	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	BE	2020	1308.00		7	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	SK	2020	708.00		6	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	157	Nuclear	GB	2020	12638.00		22	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	BE	2020	1773.90		8	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	GB	2020	8936.00		50	29-05-2024 00:00:00	29-05-2024 00:00:00
