MeasureItem	Month	Year	Category	Country	MeasureItemID	CreationDate	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	9	2019	Solar	GB	B16	2024-05-29 11:56:05	100	1038.6710000	
Monthly Domestic Values	6	2019	Hydro Run-of-river and poundage	CZ	B11	2024-05-29 11:56:05	100	94.7796600	
Monthly Domestic Values	5	2019	Waste	EE	B17	2024-05-29 11:56:05	100	11.9921000	
Monthly Domestic Values	9	2019	Fossil Oil	DK	B06	2024-05-29 11:56:05	100	25.8938100	
Monthly Domestic Values	11	2019	Hydro Pumped Storage	CZ	B10	2024-05-29 11:56:05	100	92.9339800	
Monthly Domestic Values	2	2019	Hydro Pumped Storage	IT	B10	2024-05-29 11:56:05	100	177.2590000	
Monthly Domestic Values	9	2019	Fossil Hard coal	BG	B05	2024-05-29 11:56:05	100	41.1500000	
Monthly Domestic Values	8	2019	Fossil Gas	LT	B04	2024-05-29 11:56:05	100	25.7359000	
Monthly Domestic Values	12	2019	Other renewable	ME	B15	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	7	2019	Hydro Water Reservoir	IT	B12	2024-05-29 11:56:05	100	1091.7600000	
Monthly Domestic Values	9	2019	Hydro Water Reservoir	SE	B12	2024-05-29 11:56:05	100	4535.5860000	
Monthly Domestic Values	6	2019	Solar	IT	B16	2024-05-29 11:56:05	100	2345.5920000	
Monthly Domestic Values	3	2019	Hydro Pumped Storage	GB	B10	2024-05-29 11:56:05	100	192.0275000	
Monthly Domestic Values	7	2019	Hydro Run-of-river and poundage	RO	B11	2024-05-29 11:56:05	100	790.3547700	
Monthly Domestic Values	10	2019	Hydro Run-of-river and poundage	LV	B11	2024-05-29 11:56:05	100	150.0250000	
Monthly Domestic Values	10	2019	Fossil Gas	GR	B04	2024-05-29 11:56:05	100	1558.4720000	
Monthly Domestic Values	5	2019	Fossil Gas	FR	B04	2024-05-29 11:56:05	100	1892.0830000	
Monthly Domestic Values	11	2019	Fossil Gas	NL	B04	2024-05-29 11:56:05	100	4047.1263400	
Monthly Domestic Values	5	2019	Fossil Gas	PT	B04	2024-05-29 11:56:05	100	1373.5280000	
Monthly Domestic Values	3	2019	Fossil Gas	BE	B04	2024-05-29 11:56:05	100	1540.9068800	
Monthly Domestic Values	4	2019	Fossil Peat	ES	B08	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	11	2019	Fossil Hard coal	HR	B05	2024-05-29 11:56:05	100	106.2593100	
Monthly Domestic Values	1	2019	Fossil Brown coal/Lignite	GR	B02	2024-05-29 11:56:05	100	1409.2970000	
Monthly Domestic Values	9	2019	Fossil Brown coal/Lignite	DE	B02	2024-05-29 11:56:05	100	7732.8513650	
Monthly Domestic Values	7	2019	Fossil Brown coal/Lignite	GR	B02	2024-05-29 11:56:05	100	828.1100000	
Monthly Domestic Values	12	2019	Hydro Pumped Storage	ES	B10	2024-05-29 11:56:05	100		
Monthly Domestic Values	8	2019	Hydro Pumped Storage	HR	B10	2024-05-29 11:56:05	100	3.5824800	
Monthly Domestic Values	2	2019	Hydro Pumped Storage	HR	B10	2024-05-29 11:56:05	100	64.1935100	
Monthly Domestic Values	6	2019	Wind Offshore	NL	B18	2024-05-29 11:56:05	100	167.9931425	
Monthly Domestic Values	12	2019	Other	AT	B20	2024-05-29 11:56:05	100	16.3680000	
Monthly Domestic Values	7	2019	Hydro Run-of-river and poundage	FR	B11	2024-05-29 11:56:05	100	3049.2930000	
Monthly Domestic Values	3	2019	Fossil Coal-derived gas	EE	B03	2024-05-29 11:56:05	100	36.6066000	
Monthly Domestic Values	1	2019	Hydro Run-of-river and poundage	LT	B11	2024-05-29 11:56:05	100	44.6856100	
Monthly Domestic Values	6	2019	Biomass	DE	B01	2024-05-29 11:56:05	100	3235.6020125	
Monthly Domestic Values	7	2019	Geothermal	HR	B09	2024-05-29 11:56:05	100	6.7570000	
Monthly Domestic Values	4	2019	Waste	BE	B17	2024-05-29 11:56:05	100	159.5485700	
Monthly Domestic Values	8	2019	Waste	AT	B17	2024-05-29 11:56:05	100	74.4000000	
Monthly Domestic Values	8	2019	Fossil Oil	IE	B06	2024-05-29 11:56:05	100	215.0924450	
Monthly Domestic Values	2	2019	Hydro Pumped Storage	PT	B10	2024-05-29 11:56:05	100	232.7744000	
Monthly Domestic Values	5	2019	Wind Onshore	FR	B19	2024-05-29 11:56:05	100	2211.9290000	
Monthly Domestic Values	5	2019	Solar	PT	B16	2024-05-29 11:56:05	100	114.4866000	
Monthly Domestic Values	8	2019	Solar	HR	B16	2024-05-29 11:56:05	100	8.2250000	
Monthly Domestic Values	6	2019	Other	ES	B20	2024-05-29 11:56:05	100	15.8770000	
Monthly Domestic Values	12	2019	Other	ES	B20	2024-05-29 11:56:05	100	34.7830000	
Monthly Domestic Values	3	2019	Fossil Coal-derived gas	IT	B03	2024-05-29 11:56:05	100	465.0660000	
Monthly Domestic Values	9	2019	Fossil Coal-derived gas	IT	B03	2024-05-29 11:56:05	100	532.5270000	
Monthly Domestic Values	10	2019	Nuclear	SK	B14	2024-05-29 11:56:05	100	1251.0423000	
Monthly Domestic Values	2	2019	Fossil Gas	SK	B04	2024-05-29 11:56:05	100	206.0561000	
Monthly Domestic Values	2	2019	Fossil Gas	DK	B04	2024-05-29 11:56:05	100	307.5841700	
Monthly Domestic Values	8	2019	Fossil Gas	SK	B04	2024-05-29 11:56:05	100	225.9171000	
Monthly Domestic Values	7	2019	Hydro Water Reservoir	PT	B12	2024-05-29 11:56:05	100	109.2814000	
Monthly Domestic Values	9	2019	Solar	EE	B16	2024-05-29 11:56:05	100	0.8869000	
Monthly Domestic Values	3	2019	Biomass	BG	B01	2024-05-29 11:56:05	100	21.9440000	
Monthly Domestic Values	8	2019	Biomass	FR	B01	2024-05-29 11:56:05	100	351.2220000	
Monthly Domestic Values	10	2019	Biomass	LU	B01	2024-05-29 11:56:05	100	21.8948925	
Monthly Domestic Values	9	2019	Fossil Hard coal	AT	B05	2024-05-29 11:56:05	100	26.4540000	
Monthly Domestic Values	9	2019	Fossil Hard coal	IE	B05	2024-05-29 11:56:05	100	40.8889500	
Monthly Domestic Values	12	2019	Fossil Brown coal/Lignite	MK	B02	2024-05-29 11:56:05	100	287.5953600	
Monthly Domestic Values	4	2019	Fossil Oil shale	EE	B07	2024-05-29 11:56:05	100	404.4447000	
Monthly Domestic Values	10	2019	Other renewable	DE	B15	2024-05-29 11:56:05	100	117.7139800	
Monthly Domestic Values	1	2019	Wind Onshore	SE	B19	2024-05-29 11:56:05	100	1791.8370000	
Monthly Domestic Values	1	2019	Fossil Gas	PL	B04	2024-05-29 11:56:05	100	866.2343400	
Monthly Domestic Values	6	2019	Fossil Gas	EE	B04	2024-05-29 11:56:05	100	1.0623000	
Monthly Domestic Values	4	2019	Nuclear	BG	B14	2024-05-29 11:56:05	100	1502.1810000	
Monthly Domestic Values	9	2019	Fossil Gas	DE	B04	2024-05-29 11:56:05	100	4870.7412000	
Monthly Domestic Values	11	2019	Solar	LU	B16	2024-05-29 11:56:05	100	2.5586975	
Monthly Domestic Values	7	2019	Hydro Water Reservoir	NO	B12	2024-05-29 11:56:05	100	8396.4291700	
Monthly Domestic Values	6	2019	Biomass	BE	B01	2024-05-29 11:56:05	100	236.2691500	
Monthly Domestic Values	11	2019	Waste	EE	B17	2024-05-29 11:56:05	100	10.2969000	
Monthly Domestic Values	8	2019	Hydro Pumped Storage	DE	B10	2024-05-29 11:56:05	100	714.6404675	
Monthly Domestic Values	2	2019	Fossil Gas	LT	B04	2024-05-29 11:56:05	100	32.9475100	
Monthly Domestic Values	4	2019	Fossil Gas	GR	B04	2024-05-29 11:56:05	100	1034.3820000	
Monthly Domestic Values	1	2019	Fossil Peat	IE	B08	2024-05-29 11:56:05	100	231.9819050	
Monthly Domestic Values	4	2019	Hydro Run-of-river and poundage	LU	B11	2024-05-29 11:56:05	100	6.5463000	
Monthly Domestic Values	10	2019	Wind Onshore	CY	B19	2024-05-29 11:56:05	100	17.8042550	
Monthly Domestic Values	10	2019	Hydro Water Reservoir	SK	B12	2024-05-29 11:56:05	100	17.6991400	
Monthly Domestic Values	2	2019	Other	EE	B20	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	3	2019	Hydro Water Reservoir	SE	B12	2024-05-29 11:56:05	100	5790.0910000	
Monthly Domestic Values	12	2019	Wind Onshore	HR	B19	2024-05-29 11:56:05	100	180.1874600	
Monthly Domestic Values	8	2019	Hydro Run-of-river and poundage	HR	B11	2024-05-29 11:56:05	100	96.7098000	
Monthly Domestic Values	7	2019	Wind Onshore	LU	B19	2024-05-29 11:56:05	100	10.9757450	
Monthly Domestic Values	7	2019	Consumption of Hydro Run-of-river and poundage	PT	(B11)	2024-05-29 12:01:45	100	1.4127000	
Monthly Domestic Values	9	2019	Consumption of Hydro Run-of-river and poundage	IE	(B11)	2024-05-29 12:01:45	100	0.0986450	
Monthly Domestic Values	10	2019	Consumption of Fossil Gas	IE	(B04)	2024-05-29 12:01:45	100	2.0772400	
Monthly Domestic Values	6	2019	Consumption of Hydro Pumped Storage	IT	(B10)	2024-05-29 12:01:45	100	133.2990000	
Monthly Domestic Values	6	2019	Consumption of Solar	NL	(B16)	2024-05-29 12:01:45	100	0.0159500	
Monthly Domestic Values	9	2019	Consumption of Waste	NL	(B17)	2024-05-29 12:01:45	100	2.9645775	
Monthly Domestic Values	11	2019	Consumption of Hydro Water Reservoir	PT	(B12)	2024-05-29 12:01:45	100	0.7578000	
Monthly Domestic Values	9	2019	Consumption of Wind Onshore	NL	(B19)	2024-05-29 12:01:45	100	0.2184450	
Monthly Domestic Values	8	2019	Consumption of Fossil Oil	DE	(B06)	2024-05-29 12:01:45	100	0.2009750	
Monthly Domestic Values	1	2019	Consumption of Hydro Pumped Storage	SK	(B10)	2024-05-29 12:01:45	100	33.0733800	
