MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	157	Nuclear	RO	2019	1300.00		2	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	FI	2019	565.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	PL	2019	3697.00		31	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	CZ	2019	1110.00		6	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	RS	2019	590.00		5	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LT	2019	110.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	DE	2019	7767.00		43	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GR	2019	4617.00		16	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	SK	2019	419.60		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	157	Nuclear	DE	2019	9526.00		7	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	380	Hydro_1MW_10MW	IT	2019	294.00		37	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	378	FF_over_400MW	LT	2019	445.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	IT	2019	11640.00		40	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	SI	2019	180.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	DE	2019	350.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
Inventory of Generation	9	375	FF_LT10MW	SE	2019	0.00		1	29-05-2024 00:00:00	29-05-2024 00:00:00
