MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	377	FF_200MW_400MW	ME	2022	210.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	BG	2022	1148.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	AT	2022	608.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	SE	2022	226.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	375	FF_LT10MW	GB	2022	7.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	DE	2022	5227.50		39	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	RO	2022	2064.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	BG	2022	2080.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	DK	2022	1715.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	CH	2022	10356.70		39	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	UA_IPS	2022	3833.00		27	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	ES	2022	7117.20		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	SI	2022	484.00		9	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	GR	2022	2999.00		14	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	391	Wind_On_Over_1MW	UA_IPS	2022	570.50		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	PL	2022	1332.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	GB	2022	2540.00		51	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	391	Wind_On_Over_1MW	IT	2022	9932.00		353	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	GR	2022	147.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GB	2022	4044.00		14	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	NL	2022	5115.00		17	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	NO	2022	14446.70		90	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	MD	2022	1720.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	AL	2022	1100.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	FR	2022	7688.00		47	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	NO	2022	294.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	SI	2022	305.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	IT	2022	18999.00		56	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	HU	2022	427.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	PT	2022	3367.00		17	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	SK	2022	734.40		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	EE	2022	1981.00		12	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	DK	2022	2152.50		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	CH	2022	2970.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	PT	2022	249.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	RS	2022	2672.50		9	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	CZ	2022	1081.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	SE	2022	1878.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	375	FF_LT10MW	IT	2022	33.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	EE	2022	270.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	ES	2022	2277.70		10	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	CZ	2022	3467.00		20	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	DE	2022	140.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	399	GeoThermal_Over_1MW	IT	2022	766.00		30	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	391	Wind_On_Over_1MW	HU	2022	63.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	BG	2022	1496.00		9	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	380	Hydro_1MW_10MW	IE	2022	20.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	GR	2022	4351.00		9	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	DE	2022	8009.00		28	26-06-2023 00:00:00	26-06-2023 00:00:00
