MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B01	Biomass	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	AL	2022	100	97.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B09	Geothermal	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AL	2022	100	527.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AL	2022	100	1676.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B13	Marine	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B14	Nuclear	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B20	Other	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B15	Other renewable	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B16	Solar	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B17	Waste	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	AL	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B01	Biomass	AT	2022	100	482.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AT	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	AT	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	AT	2022	100	4349.50	27-06-2023 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	AT	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	AT	2022	100	163.61	27-06-2023 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	AT	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	AT	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B09	Geothermal	AT	2022	100	0.00	27-06-2023 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AT	2022	100	3503.28	27-06-2023 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AT	2022	100	5836.87	27-06-2023 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AT	2022	100	2474.95	27-06-2023 00:00:00	
