MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	157	Nuclear	RO	2024	1300.00		2	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	378	FF_over_400MW	FI	2024	565.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	PL	2024	2716.00		23	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	CZ	2024	1110.00		6	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	RS	2024	590.00		5	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LT	2024	110.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	DE	2024	8011.30		45	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	DK	2024	468.00		2	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GR	2024	2968.00		10	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	378	FF_over_400MW	SK	2024	419.60		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	UA_IPS	2024	440.00		2	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	378	FF_over_400MW	LT	2024	445.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	IT	2024	12419.00		39	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	375	FF_LT10MW	HU	2024	6.90		4	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	SI	2024	180.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	DE	2024	350.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	375	FF_LT10MW	SE	2024	0.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	157	Nuclear	HU	2024	1915.60		8	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	378	FF_over_400MW	ES	2024	9460.30		22	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	FR	2024	665.00		3	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	157	Nuclear	BE	2024	3929.00		6	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	MK	2024	465.00		3	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	IT	2024	140.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
Inventory of Generation	9	157	Nuclear	NL	2024	485.00		1	03-03-2025 00:00:00	03-03-2025 00:00:00
