MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromAreaMemberType;ToAreaMemberType
Physical Energy & Power Flows;2021;8;18;18;18;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;128;128;128;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;176;176;176;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;77;77;77;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;210;210;210;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;407;407;407;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;99;99;99;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;0;0;0;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;10;232;232;232;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;156;156;156;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;257;257;257;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;2;2;2;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;145;145;145;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;158;158;158;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;216;216;216;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;10;10;10;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;147;147;147;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;354;354;354;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;432;432;432;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;135;135;135;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;19;19;19;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;190;190;190;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;27;27;27;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;120;120;120;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;13;13;13;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;111;111;111;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;74;74;74;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;58;58;58;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;27;27;27;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;22;22;22;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;146;146;146;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;191;191;191;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;3;3;3;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;103;103;103;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;581;581;581;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;210;210;210;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;3;3;3;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;325;325;325;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;324;324;324;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;94;94;94;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;18;18;18;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;213;213;213;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;313;313;313;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;71;71;71;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;44;44;44;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;157;157;157;AL;ME;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;4;4;4;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;27;27;27;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;92;92;92;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;46;46;46;AL;ME;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;270;270;270;AL;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;71;71;71;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;9;9;9;9;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;269;269;269;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;9;27;27;27;AL;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;45;45;45;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;10;41;41;41;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;13;13;13;AL;ME;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;177;177;177;AL;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;23;23;23;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;120;120;120;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;10;10;10;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;480;480;480;AL;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;126;126;126;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;17;17;17;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;354;354;354;AL;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;340;340;340;AL;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;126;126;126;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;0;0;0;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;228;228;228;AL;XK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;232;232;232;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;124;124;124;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;180;180;180;AL;XK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;236;236;236;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;121;121;121;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;0;0;0;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;0;0;0;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;218;218;218;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;104;104;104;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;0;0;0;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;34;34;34;AL;XK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;105;105;105;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;75;75;75;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;13;13;13;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;4;4;4;AL;XK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;194;194;194;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;25;25;25;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;68;68;68;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;205;205;205;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;154;154;154;AL;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;24;24;24;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;84;84;84;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;312;312;312;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;29;29;29;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;14;14;14;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;115;115;115;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;396;396;396;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;77;77;77;AL;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;0;0;0;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;9;161;161;161;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;359;359;359;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;355;355;355;AL;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;15;15;15;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;10;106;106;106;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;243;243;243;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;160;160;160;AL;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;12;12;12;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;88;88;88;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;248;248;248;AL;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;57;57;57;AL;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;122;122;122;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;5;5;5;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;40;40;40;AL;XK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;422;422;422;AL;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2021;1;611;611;611;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;8;8;8;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;676;676;676;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;848;848;848;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;512;512;512;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;9;9;9;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;759;759;759;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;972;972;972;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;440;440;440;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;17;17;17;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;409;409;409;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;255;255;255;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;203;203;203;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;15;15;15;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;464;464;464;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;391;391;391;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;187;187;187;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;23;23;23;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;286;286;286;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;398;398;398;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;74;74;74;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;63;63;63;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;61;61;61;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;273;273;273;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;61;61;61;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;102;102;102;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;177;177;177;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;430;430;430;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;409;409;409;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;4;4;4;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;283;283;283;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;793;793;793;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;9;185;185;185;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;9;62;62;62;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;432;432;432;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;9;135;135;135;AT;CH;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;71;71;71;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;10;81;81;81;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;284;284;284;AT;CH;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;1;1;1;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;229;229;229;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;30;30;30;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;161;161;161;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;11;77;77;77;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;402;402;402;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;7;7;7;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;108;108;108;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;12;546;546;546;AT;CH;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;0;0;0;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;925;925;925;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;1584;1584;1584;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;2077;2077;2077;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;3;3;3;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;550;550;550;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;993;993;993;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;1110;1110;1110;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;867;867;867;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;562;562;562;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;741;741;741;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;1;1;1;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;845;845;845;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;1725;1725;1725;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;1412;1412;1412;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;41;41;41;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;331;331;331;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;51;51;51;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;433;433;433;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;2;2;2;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;402;402;402;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;279;279;279;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;817;817;817;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;833;833;833;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;801;801;801;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;918;918;918;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;0;0;0;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;8;803;803;803;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;1378;1378;1378;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;8;1422;1422;1422;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;1306;1306;1306;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;1966;1966;1966;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;9;2010;2010;2010;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;1589;1589;1589;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;2095;2095;2095;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;10;1887;1887;1887;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;1266;1266;1266;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;2021;2021;2021;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;11;2021;2021;2021;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;1050;1050;1050;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;1380;1380;1380;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;12;1181;1181;1181;AT;CZ;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;27;27;27;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;947;947;947;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;3211;3211;3211;AT;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;2803;2803;2803;AT;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;46;46;46;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;914;914;914;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;2991;2991;2991;AT;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;2715;2715;2715;AT;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;3;3;3;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;1228;1228;1228;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;1079;1079;1079;AT;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;1363;1363;1363;AT;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;14;14;14;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;974;974;974;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;2146;2146;2146;AT;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;2362;2362;2362;AT;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;276;276;276;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;356;356;356;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;1053;1053;1053;AT;DE;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;540;540;540;AT;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
