MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromAreaMemberType;ToAreaMemberType
Physical Energy & Power Flows;2021;1;98;98;98;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;15;15;15;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;1;359;359;359;AL;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;1;90;90;90;AL;GR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;232;232;232;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;1;1;1;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;2;613;613;613;AL;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;2;363;363;363;AL;GR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;117;117;117;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;13;13;13;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;3;21;21;21;AL;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;3;169;169;169;AL;GR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;34;34;34;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;37;37;37;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;4;23;23;23;AL;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;4;172;172;172;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;92;92;92;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;9;9;9;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;5;146;146;146;AL;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;5;55;55;55;AL;GR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;50;50;50;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;6;29;29;29;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;112;112;112;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;6;235;235;235;AL;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;32;32;32;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2021;7;69;69;69;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;66;66;66;AL;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2021;7;49;49;49;AL;GR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
