MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	157	Nuclear	RO	2021	1300.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	FI	2021	565.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	PL	2021	3697.00		31	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	CZ	2021	1110.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	RS	2021	590.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LT	2021	470.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	DE	2021	7767.00		43	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GR	2021	4617.00		16	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	SK	2021	419.60		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	DE	2021	8124.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	380	Hydro_1MW_10MW	IT	2021	271.00		34	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	LT	2021	445.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	IT	2021	12246.00		40	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	375	FF_LT10MW	HU	2021	5.50		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	SI	2021	180.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	DE	2021	350.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	375	FF_LT10MW	SE	2021	0.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	HU	2021	1898.60		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	ES	2021	10579.80		24	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	FR	2021	665.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	BE	2021	5943.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	MK	2021	300.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	IT	2021	1060.00		46	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	NL	2021	485.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	FI	2021	385.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	RS	2021	2160.30		12	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	LT	2021	900.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	GR	2021	120.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	BE	2021	1308.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	SK	2021	708.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	GB	2021	12638.00		22	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	BE	2021	2261.90		10	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	GB	2021	9288.00		54	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	IT	2021	2176.00		32	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	PT	2021	2742.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	SI	2021	242.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LV	2021	299.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	HU	2021	424.80		21	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	CZ	2021	3936.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	GB	2021	54077.00		96	26-06-2023 00:00:00	26-06-2023 00:00:00
