MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	157	Nuclear	BE	2025	3908.00		6	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	BG	2025	2080.00		2	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	CH	2025	2983.00		4	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	CZ	2025	4130.00		6	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	ES	2025	7117.20		7	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	FI	2025	4372.00		7	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	FR	2025	62990.00		57	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	GB	2025	12638.00		22	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	HU	2025	1915.60		8	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	NL	2025	485.00		1	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	RO	2025	1300.00		2	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	SE	2025	6671.00		10	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	SI	2025	696.00		1	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	SK	2025	2411.00		10	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	157	Nuclear	UA_IPS	2025	26760.00		23	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	375	FF_LT10MW	GB	2025	7.00		4	02-03-2026 12:49:14	02-03-2026 12:49:14
Inventory of Generation	9	375	FF_LT10MW	HU	2025	12.10		5	02-03-2026 12:49:14	02-03-2026 12:49:14
